id,document_id,matter_id,title,type,status,created_at,updated_at,content,content_uri
4fddeb3c-ba7e-4992-aee2-2045b796f13c,doc-mrcdpy7t-yu4adm,m-mrcdpaea-gdj049,field,draft,draft,2026-07-08 17:56:13.05,2026-07-08 17:56:13.05,,""
e456aa85-7549-480e-91a3-b173e736a36c,doc-mrcdpy7s-e4qlil,m-mrcdpaea-gdj049,field,draft,draft,2026-07-08 17:56:13.048,2026-07-08 17:56:13.048,,""
7b2b6b6e-31ee-4942-bc6e-af060b4e5d75,doc-mrcdpy80-s3sfk2,m-mrcdpaea-gdj049,heading,draft,draft,2026-07-08 17:56:13.056,2026-07-08 17:56:13.056,,""
4610c15a-fe5c-42d5-8524-e22e8b7e7854,doc-mrcdpy82-9srjzm,m-mrcdpaea-gdj049,heading,draft,draft,2026-07-08 17:56:13.059,2026-07-08 17:56:13.059,,""
bcdec4eb-5c3c-4e06-83bf-ace0d11512a1,doc-mrcdpy7v-373aqj,m-mrcdpaea-gdj049,heading,draft,draft,2026-07-08 17:56:13.052,2026-07-08 17:56:13.052,,""
2ee338a5-9e09-4c02-9f73-0987e583a1fb,doc-mrcdpy7q-fqughh,m-mrcdpaea-gdj049,heading,draft,draft,2026-07-08 17:56:13.047,2026-07-08 17:56:13.047,,""
203aaa1f-360d-427b-82c8-acd32109b03a,doc-mrcdpy7y-fp73ti,m-mrcdpaea-gdj049,item,draft,draft,2026-07-08 17:56:13.055,2026-07-08 17:56:13.055,,""
6eadb044-3621-4683-9161-5637394925b4,doc-mrcdpy7x-8w4h3w,m-mrcdpaea-gdj049,item,draft,draft,2026-07-08 17:56:13.054,2026-07-08 17:56:13.054,,""
55738795-714c-42aa-a938-ff2aeb3eeaee,doc-mrcdpy81-7d2bka,m-mrcdpaea-gdj049,paragraph,draft,draft,2026-07-08 17:56:13.058,2026-07-08 17:56:13.058,,""
98bcc28c-6219-4b0c-8ec4-9c9d9346a402,doc-mrcdpy83-xpxhyk,m-mrcdpaea-gdj049,paragraph,draft,draft,2026-07-08 17:56:13.059,2026-07-08 17:56:13.059,,""
